try1	Parser a -> [Token] -> Maybe (a,[Token])
parseExpr	[Token] -> Maybe (Expr,[Token])
toplevel	Parser (String, Expr)
toplevel1	[Token] -> Maybe ((String, Expr),[Token])
aliasName	Parser String
aliasName1	[Token] -> Maybe (String,[Token])
aliasName3	[Token] -> Maybe (Token,[Token])
aliasName4	[Char]
aliasName6	[Token] -> Maybe (String,[Token])
aliasName_t	Token
aliasName_xs	[Char]
anyToken	Parser Token
anyToken1	[Token] -> Maybe (Token,[Token])
binOp	[String] -> Parser (Expr -> Expr -> Expr)
binOp1	[String] -> [Token] -> Maybe (Expr -> Expr -> Expr,[Token])
binOp2	Eq String
bracedBlock	Parser a -> Parser[a]
braces	Parser a -> Parser a
braces1	String -> [Token] -> Maybe ((),[Token])
bracesB	Parser a -> Parser a
bracesV	Parser b -> Parser b
bracesV1	Parser b -> [Token] -> Maybe (b,[Token])
bracesVO	Parser a -> Parser a
bracesVO1	Parser a -> [Token] -> Maybe (a,[Token])
bracesVO2	Parser a -> [Token] -> Maybe (a,[Token])
bracesv	Parser a -> Parser a
brackets	Parser a -> Parser a
charLiteralExpr	Parser Char
charLiteralExpr1	[Token] -> Maybe (Char,[Token])
eof	Parser ()
eof1	[Token] -> Maybe ((),[Token])
ident	Parser String
ident1	[Token] -> Maybe (String,[Token])
identI	Parser String
identI1	[Token] -> Maybe (String,[Token])
int	Parser Int
int1	[Token] -> Maybe (Int,[Token])
isEOF	Parser Bool
isEOF1	[Token] -> Maybe (Bool,[Token])
isSymbolName	String -> Bool
keyword	String -> Parser ()
keyword1	String -> [Token] -> Maybe ((),[Token])
name	Parser String
name1	[Token] -> Maybe (String,[Token])
name2	[Char]
newline	Parser ()
newline1	[Token] -> Maybe ((),[Token])
notFollowedBy	Parser a -> Parser ()
notFollowedBy1	Parser a -> [Token] -> Maybe ((),[Token])
operator	Parser BinOp
operator1	[Token] -> Maybe (BinOp,[Token])
operator10	[Parser BinOp]
operator11	[Parser BinOp]
operator12	[Parser BinOp]
operator13	[Parser BinOp]
operator14	[Token] -> Maybe (BinOp,[Token])
operator15	[Char]
operator17	[Token] -> Maybe (BinOp,[Token])
operator18	[Char]
operator2	[Parser BinOp]
operator20	[Token] -> Maybe (BinOp,[Token])
operator21	[Char]
